POA_CODE_2016,Num_Psns_UR_1_FamHhold,Num_Psns_UR_1_NonFamHhold,Num_Psns_UR_1_Total,Num_Psns_UR_2_FamHhold,Num_Psns_UR_2_NonFamHhold,Num_Psns_UR_2_Total,Num_Psns_UR_3_FamHhold,Num_Psns_UR_3_NonFamHhold,Num_Psns_UR_3_Total,Num_Psns_UR_4_FamHhold,Num_Psns_UR_4_NonFamHhold,Num_Psns_UR_4_Total,Num_Psns_UR_5_FamHhold,Num_Psns_UR_5_NonFamHhold,Num_Psns_UR_5_Total,Num_Psns_UR_6mo_FamHhold,Num_Psns_UR_6mo_NonFamHhold,Num_Psns_UR_6mo_Total,Total_FamHhold,Total_NonFamHhold,Total_Total
POA3722,..,609,609,627,48,674,214,3,219,246,3,249,106,0,113,44,0,41,1240,659,1900
POA3723,..,327,327,432,18,450,103,5,105,95,0,95,34,0,34,18,0,18,677,347,1028
POA3725,..,36,36,92,10,101,32,0,32,28,0,28,12,0,12,3,0,3,173,44,219
POA3726,..,46,46,60,0,65,23,0,23,15,0,15,8,0,8,5,0,5,111,43,157
POA3727,..,25,25,39,3,43,22,0,22,15,0,15,5,0,5,3,0,3,84,29,109
POA3728,..,61,61,104,3,106,23,0,26,25,0,25,12,0,12,6,0,6,168,65,239
POA3730,..,940,940,1257,70,1327,373,4,378,353,4,356,180,0,180,72,0,72,2233,1017,3250
POA3732,..,70,70,85,3,85,28,0,28,26,0,26,18,0,18,4,0,4,159,72,239
POA3733,..,28,28,34,5,42,8,0,8,8,0,8,6,0,6,3,0,3,58,32,92
POA3735,..,51,51,101,3,100,30,0,30,31,0,31,14,0,14,3,0,3,173,53,229
POA3737,..,557,557,633,26,661,194,8,200,181,0,181,86,0,86,43,0,43,1137,589,1724
POA3738,..,26,26,36,0,36,4,0,4,11,0,11,9,0,9,0,0,0,56,26,88
POA3739,..,28,28,38,0,38,12,0,12,8,0,8,3,0,3,0,0,0,56,28,86
POA3740,..,87,87,166,7,172,57,0,58,39,0,39,30,0,30,4,0,4,299,96,393
POA3741,..,361,361,454,28,479,117,8,120,132,4,132,49,0,50,11,0,11,762,398,1156
POA3744,..,50,50,57,8,69,19,0,19,23,0,23,13,0,13,0,0,3,113,57,171
POA3746,..,37,37,59,3,63,7,0,7,24,0,24,7,0,7,3,0,3,97,43,146
POA3747,..,467,467,676,33,713,199,8,202,208,0,207,74,0,72,33,0,33,1180,511,1694
POA3749,..,169,169,249,12,255,96,0,96,100,0,103,43,0,43,12,0,12,511,182,687
POA3750,..,294,294,644,44,694,634,7,641,594,4,604,269,3,271,177,0,177,2327,350,2677
POA3751,..,15,15,31,6,38,8,0,8,14,0,14,14,0,14,7,0,7,71,19,90
POA3752,..,994,994,1717,89,1799,1481,12,1496,1989,8,1999,779,0,781,320,0,320,6278,1103,7381
POA3753,..,74,74,189,4,194,131,0,131,170,0,170,62,0,62,50,0,50,602,79,683
POA3754,..,1599,1599,3068,192,3252,2494,27,2522,2920,9,2925,1219,3,1218,431,0,431,10120,1826,11945
POA3755,..,16,16,38,0,41,17,0,14,5,0,5,8,0,8,5,0,5,72,21,97
POA3756,..,585,585,1082,67,1153,694,5,701,748,0,750,349,0,349,194,0,194,3069,656,3728
POA3757,..,601,601,896,53,947,472,3,478,550,0,552,264,0,271,111,0,111,2296,662,2963
POA3758,..,104,104,202,4,211,106,0,103,162,0,162,74,0,74,34,0,34,578,105,686
POA3759,..,51,51,113,8,122,54,0,54,75,0,75,32,0,32,13,0,13,286,57,349
POA3760,..,12,12,35,0,38,30,0,30,30,0,30,8,0,8,0,0,0,108,15,121
POA3761,..,72,72,111,0,113,74,0,74,69,0,69,43,0,43,11,0,11,312,79,392
POA3762,..,6,6,15,0,15,9,0,9,6,0,6,3,0,3,0,0,0,32,6,45
POA3763,..,145,145,180,4,184,77,0,82,92,0,92,31,0,32,21,0,21,404,148,551
POA3764,..,737,737,993,58,1055,462,9,470,516,0,516,260,0,260,90,0,90,2322,803,3127
POA3765,..,417,417,686,30,710,345,0,354,457,0,457,173,0,173,93,0,93,1754,447,2202
